Date,Open,High,Low,Close,Adj Close,Volume
1992-01-01,0.773438,0.898438,0.679688,0.750000,0.471343,166080000
1992-02-01,0.750000,0.804688,0.578125,0.640625,0.402606,76118400
1992-03-01,0.640625,0.726563,0.546875,0.718750,0.451704,79814400
1992-04-01,0.671875,0.765625,0.609375,0.656250,0.412425,55449600
1992-05-01,0.664063,0.687500,0.539063,0.574219,0.360872,48051200
1992-06-01,0.578125,0.648438,0.531250,0.609375,0.382966,67292800
1992-07-01,0.609375,0.632813,0.468750,0.554688,0.348598,69184000
1992-08-01,0.554688,0.570313,0.476563,0.480469,0.301954,27116800
1992-09-01,0.492188,0.570313,0.390625,0.562500,0.353507,94576000
1992-10-01,0.570313,0.789063,0.500000,0.765625,0.481163,155017600
1992-11-01,0.742188,0.914063,0.718750,0.890625,0.559720,116646400
1992-12-01,0.898438,0.898438,0.726563,0.757813,0.476253,69651200
1993-01-01,0.757813,1.093750,0.703125,0.921875,0.579359,173648000
1993-02-01,0.937500,1.171875,0.898438,0.984375,0.618638,222662400
1993-03-01,0.984375,1.562500,0.980469,1.531250,0.962326,279190400
1993-04-01,1.539063,1.632813,1.203125,1.421875,0.893588,254963200
1993-05-01,1.421875,1.500000,1.273438,1.414063,0.888679,129168000
1993-06-01,1.390625,1.820313,1.351563,1.812500,1.139080,263068800
1993-07-01,1.820313,2.203125,1.765625,2.101563,1.320743,225936000
1993-08-01,2.125000,2.578125,2.023438,2.437500,1.531866,263955200
1993-09-01,2.453125,2.710938,2.140625,2.585938,1.625153,343792000
1993-10-01,2.554688,2.710938,2.179688,2.390625,1.502406,342940800
1993-11-01,2.398438,2.531250,1.578125,1.648438,1.035973,660438400
1993-12-01,1.687500,1.890625,1.609375,1.656250,1.040883,274464000
1994-01-01,1.656250,1.718750,1.437500,1.570313,0.986875,332496000
1994-02-01,1.539063,1.554688,1.234375,1.406250,0.883768,318734400
1994-03-01,1.500000,1.812500,1.406250,1.531250,0.962326,249264000
1994-04-01,1.453125,1.531250,1.218750,1.328125,0.834670,114664000
1994-05-01,1.328125,1.359375,1.015625,1.023438,0.643187,160547200
1994-06-01,1.031250,1.187500,0.968750,1.000000,0.628458,154369600
1994-07-01,1.031250,1.218750,0.937500,1.125000,0.707015,185608000
1994-08-01,1.125000,1.468750,1.093750,1.406250,0.883768,119640000
1994-09-01,1.390625,1.703125,1.265625,1.582031,0.994239,235585600
1994-10-01,1.593750,1.890625,1.562500,1.843750,1.158719,237739200
1994-11-01,1.843750,2.109375,1.781250,1.921875,1.207817,224980800
1994-12-01,1.890625,1.953125,1.390625,1.500000,0.942686,190790400
1995-01-01,1.453125,1.812500,1.281250,1.656250,1.040883,243692800
1995-02-01,1.703125,1.859375,1.562500,1.828125,1.148899,168350400
1995-03-01,1.812500,2.203125,1.703125,2.046875,1.286374,310120000
1995-04-01,2.062500,2.062500,1.507813,1.640625,1.031063,304257600
1995-05-01,1.617188,1.937500,1.523438,1.601563,1.006515,292609600
1995-06-01,1.609375,2.226563,1.562500,2.160156,1.357567,512406400
1995-07-01,2.140625,2.820313,2.132813,2.671875,1.679160,499060800
1995-08-01,2.679688,3.421875,2.531250,3.046875,1.914832,739889600
1995-09-01,3.070313,3.390625,2.546875,2.867188,1.801907,476662400
1995-10-01,2.867188,2.867188,2.179688,2.406250,1.512226,546425600
1995-11-01,2.414063,2.968750,2.406250,2.585938,1.625153,441238400
1995-12-01,2.585938,2.789063,2.187500,2.687500,1.688980,416497600
1996-01-01,2.671875,2.937500,2.218750,2.796875,1.757718,492459200
1996-02-01,2.796875,3.109375,2.453125,2.464844,1.549049,402254400
1996-03-01,2.476563,2.632813,2.242188,2.593750,1.630061,414142400
1996-04-01,2.585938,2.617188,1.898438,2.421875,1.522046,584924800
1996-05-01,2.421875,3.406250,2.367188,3.402344,2.138229,589883200
1996-06-01,3.328125,3.398438,2.773438,3.320313,2.086676,485414400
1996-07-01,3.289063,3.304688,2.273438,2.710938,1.703710,570859200
1996-08-01,2.726563,3.101563,2.695313,2.710938,1.703710,273326400
1996-09-01,2.617188,2.773438,2.296875,2.656250,1.669340,440323200
1996-10-01,2.640625,2.671875,2.210938,2.484375,1.561324,405411200
1996-11-01,2.492188,2.921875,2.406250,2.625000,1.649701,482486400
1996-12-01,2.609375,2.687500,2.375000,2.492188,1.566235,423448000
1997-01-01,2.515625,3.757813,2.445313,3.500000,2.199601,662145600
1997-02-01,3.500000,3.984375,3.367188,3.480469,2.187327,550985600
1997-03-01,3.500000,3.929688,3.320313,3.523438,2.214331,533027200
1997-04-01,3.460938,3.789063,2.578125,2.921875,1.836274,792014400
1997-05-01,2.953125,3.539063,2.937500,3.015625,1.895193,534782400
1997-06-01,3.000000,3.257813,2.820313,3.179688,1.998299,428494400
1997-07-01,3.187500,3.554688,2.812500,2.890625,1.816636,606156800
1997-08-01,2.898438,3.031250,2.703125,2.890625,1.816636,308832000
1997-09-01,2.906250,4.063477,2.898438,3.980469,2.501556,541128000
1997-10-01,3.945313,4.281250,3.250000,3.523438,2.214331,563385600
1997-11-01,3.640625,4.496094,3.609375,4.234375,2.661124,557620800
1997-12-01,4.296875,4.460938,2.843750,3.156250,1.983570,989489600
1998-01-01,3.203125,3.492188,2.812500,3.242188,2.037578,816184000
1998-02-01,3.335938,3.652344,2.882813,3.187500,2.003208,874976000
1998-03-01,3.203125,3.347656,2.937500,3.343750,2.101405,428536000
1998-04-01,3.304688,3.785156,3.257813,3.515625,2.209422,574161600
1998-05-01,3.507813,3.609375,3.242188,3.257813,2.047396,246851200
1998-06-01,3.234375,3.609375,2.914063,3.511719,2.206967,336356800
1998-07-01,3.523438,4.210938,3.343750,3.896484,2.448775,484364800
1998-08-01,3.890625,3.898438,2.718750,2.746094,1.725803,372390400
1998-09-01,2.761719,3.289063,2.558594,2.996094,1.882918,514633600
1998-10-01,2.921875,3.519531,2.359375,3.476563,2.233848,544664000
1998-11-01,3.523438,3.750000,3.324219,3.429688,2.203729,482139200
1998-12-01,3.406250,3.519531,3.062500,3.238281,2.080743,372243200
1999-01-01,3.277344,4.226563,3.265625,4.113281,2.642968,714992000
1999-02-01,4.109375,4.722656,3.835938,4.562500,2.931612,644875200
1999-03-01,4.546875,7.859375,4.445313,7.773438,4.994784,971793600
1999-04-01,7.906250,13.656250,7.687500,12.500000,8.031810,1446011200
1999-05-01,13.023438,14.968750,10.757813,12.156250,7.810940,675673600
1999-06-01,12.359375,18.242188,11.328125,17.937500,11.525654,549148800
1999-07-01,18.000000,20.906250,17.296875,19.500000,12.529634,770137600
1999-08-01,19.406250,24.828125,16.984375,24.023438,15.436145,711766400
1999-09-01,23.437500,24.875000,19.035156,23.648438,15.195186,1178668800
1999-10-01,23.421875,28.296875,22.843750,27.843750,17.890867,764664000
1999-11-01,27.695313,50.765625,27.406250,45.289063,29.100267,1326487200
1999-12-01,45.437500,92.515625,44.375000,88.062500,56.584126,1044077400
2000-01-01,99.625000,100.000000,52.812500,63.500000,40.801609,1098378800
2000-02-01,65.750000,74.000000,60.031250,71.218750,45.761250,680639600
2000-03-01,70.250000,81.281250,61.000000,74.656250,47.970013,743109200
2000-04-01,74.343750,76.375000,46.125000,54.218750,34.837997,736248200
2000-05-01,54.812500,60.000000,30.000000,33.187500,21.324469,939409400
2000-06-01,35.625000,42.156250,28.750000,30.000000,19.276352,1135084600
2000-07-01,29.968750,35.468750,25.750000,32.468750,20.862637,625888800
2000-08-01,32.468750,33.937500,27.406250,29.937500,19.236197,406286400
2000-09-01,30.406250,39.375000,29.000000,35.625000,22.890673,749230000
2000-10-01,36.312500,43.500000,31.562500,32.554688,20.917854,673523400
2000-11-01,31.695313,45.687500,30.500000,40.125000,25.782124,645744000
2000-12-01,41.187500,53.906250,37.125000,41.093750,26.404579,750039000
2001-01-01,40.937500,43.500000,33.875000,42.031250,27.006971,657276600
2001-02-01,41.562500,44.687500,25.062500,27.406250,17.609753,725867400
2001-03-01,27.562500,33.234375,23.625000,28.312500,18.192060,878145000
2001-04-01,27.750000,33.250000,21.375000,28.680000,18.428198,786441400
2001-05-01,28.360001,35.520000,27.600000,30.370001,19.514103,501794200
2001-06-01,30.625000,32.764999,23.990000,29.240000,18.788013,448537800
2001-07-01,28.770000,33.970001,27.610001,31.615000,20.314064,547380000
2001-08-01,32.105000,34.435001,29.014999,29.424999,18.906895,479530800
2001-09-01,29.375000,29.500000,21.299999,23.770000,15.273294,585614800
2001-10-01,23.625000,28.500000,19.155001,24.559999,15.780905,970498800
2001-11-01,24.969999,31.245001,24.500000,29.360001,18.865122,633468600
2001-12-01,29.075001,31.125000,24.684999,25.250000,16.224260,442133000
2002-01-01,25.485001,26.670000,20.629999,22.025000,14.152058,710850800
2002-02-01,21.920000,21.995001,15.515000,16.625000,10.682312,744891200
2002-03-01,16.900000,22.325001,16.740000,18.820000,12.092698,519217800
2002-04-01,18.549999,20.174999,14.280000,15.080000,9.689580,603103000
2002-05-01,14.880000,16.980000,12.315000,15.820000,10.165065,660463600
2002-06-01,16.230000,17.000000,12.245000,13.745000,8.831780,762069600
2002-07-01,13.625000,15.695000,12.120000,13.740000,8.828570,714083200
2002-08-01,12.875000,15.340000,11.605000,13.855000,8.902461,532891800
2002-09-01,13.695000,15.535000,12.550000,13.810000,8.873547,610756400
2002-10-01,14.100000,18.549999,13.665000,17.260000,11.090329,834662800
2002-11-01,17.025000,21.000000,16.450001,20.610001,13.242858,681686600
2002-12-01,21.000000,21.445000,17.915001,18.195000,11.691109,502161800
2003-01-01,18.309999,19.955000,17.700001,18.830000,12.099131,596698800
2003-02-01,18.844999,19.379999,16.315001,17.290001,11.109608,596328400
2003-03-01,17.459999,19.975000,16.719999,18.000000,11.565814,578553400
2003-04-01,18.250000,18.320000,15.330000,15.940000,10.257021,689866600
2003-05-01,15.970000,16.910000,14.790000,16.775000,10.794324,615555000
